strategy,problem,dim,best_fitness,runtime_ms
3,2,20,2.14194e-013,44.8565
3,2,20,5.37225e-013,45.841
3,2,20,3.23014e-013,44.5503
3,2,20,3.08482e-013,43.4189
3,2,20,3.89787e-013,42.7932
3,2,20,3.63976e-013,44.4371
3,2,20,2.21993e-013,44.4886
3,2,20,3.38287e-013,45.6165
3,2,20,2.56035e-013,45.1899
3,2,20,3.64779e-013,43.9744
3,2,20,2.90227e-013,45.8214
3,2,20,2.99129e-013,48.3967
3,2,20,2.46212e-013,43.4236
3,2,20,3.03122e-013,46.4422
3,2,20,2.55009e-013,43.5213
3,2,20,2.99407e-013,45.6938
3,2,20,4.01068e-013,44.7877
3,2,20,2.41838e-013,44.6751
3,2,20,3.34219e-013,46.9432
3,2,20,4.65193e-013,44.7451
3,2,20,2.79545e-013,48.1169
3,2,20,2.54096e-013,44.5534
3,2,20,2.65067e-013,46.8769
3,2,20,4.33565e-013,44.761
3,2,20,2.85184e-013,44.0192
4,2,20,2.60685e-006,50.1703
4,2,20,4.74661e-006,46.7055
4,2,20,4.33781e-006,47.3238
4,2,20,6.10578e-006,45.9277
4,2,20,5.36584e-006,47.9231
4,2,20,5.01394e-006,46.2148
4,2,20,3.70097e-006,47.7079
4,2,20,6.40559e-006,45.1663
4,2,20,6.98287e-006,45.9393
4,2,20,6.43242e-006,47.6046
4,2,20,4.83562e-006,45.3452
4,2,20,4.18487e-006,44.875
4,2,20,5.7238e-006,47.2333
4,2,20,4.5811e-006,45.7395
4,2,20,6.35832e-006,45.0208
4,2,20,4.71501e-006,48.5398
4,2,20,3.77164e-006,46.3577
4,2,20,4.85097e-006,48.6199
4,2,20,4.50823e-006,46.5328
4,2,20,7.18869e-006,45.1134
4,2,20,6.24692e-006,45.3843
4,2,20,6.46471e-006,46.0301
4,2,20,3.97339e-006,48.9817
4,2,20,4.19997e-006,45.6146
4,2,20,6.99294e-006,47.3674
4,2,20,3.67516e-006,51.4022
4,2,20,3.56126e-006,57.6206
4,2,20,6.42632e-006,52.3884
4,2,20,5.66301e-006,49.6039
4,2,20,4.32645e-006,46.7548
5,2,20,5.37699e-005,50.0759
5,2,20,9.2979e-005,48.1985
5,2,20,9.21043e-005,49.4628
5,2,20,6.07963e-005,47.6948
5,2,20,0.00011314,50.6463
5,2,20,8.80751e-005,48.0001
5,2,20,0.000139066,91.7049
5,2,20,0.000104143,50.4873
5,2,20,0.00010039,49.2628
5,2,20,6.67679e-005,51.1261
5,2,20,9.735e-005,47.698
5,2,20,0.000107676,49.879
5,2,20,7.27941e-005,56.4592
5,2,20,0.000104315,55.5504
5,2,20,7.23868e-005,48.9901
5,2,20,7.10782e-005,48.7784
5,2,20,9.37889e-005,48.9367
5,2,20,6.74799e-005,50.1769
5,2,20,0.000138642,48.1191
5,2,20,0.000109912,53.0199
5,2,20,0.000138868,49.9999
5,2,20,0.000101744,50.4339
5,2,20,0.000130455,48.7068
5,2,20,0.000107471,49.3846
5,2,20,0.000109354,47.3975
5,2,20,9.58074e-005,48.7431
5,2,20,0.000104747,52.5195
5,2,20,8.81396e-005,47.8183
5,2,20,8.97159e-005,47.8625
5,2,20,0.000147146,52.1217
6,2,20,5.97313e-005,73.8919
6,2,20,3.05359e-005,75.7723
6,2,20,4.80167e-005,76.8569
6,2,20,6.67835e-005,78.1648
6,2,20,5.54783e-005,76.3362
6,2,20,2.60141e-005,75.2026
6,2,20,5.4793e-005,75.7888
6,2,20,2.91266e-005,74.6597
6,2,20,2.35316e-005,77.3481
6,2,20,2.84356e-005,73.6288
6,2,20,7.23134e-005,76.828
6,2,20,5.66794e-005,76.0071
6,2,20,6.88155e-005,76.4172
6,2,20,3.17074e-005,78.175
6,2,20,3.90592e-005,77.4993
6,2,20,8.02654e-005,77.2009
6,2,20,5.44512e-005,73.2407
6,2,20,3.88698e-005,76.0804
6,2,20,7.60874e-005,76.1816
6,2,20,4.11342e-005,76.2583
6,2,20,4.58245e-005,78.5088
6,2,20,4.51943e-005,75.9246
6,2,20,2.72584e-005,73.8901
6,2,20,4.71438e-005,77.0141
6,2,20,4.28736e-005,75.8562
6,2,20,7.14673e-005,77.7371
6,2,20,2.92219e-005,77.3405
6,2,20,3.13508e-005,75.2185
6,2,20,6.67993e-005,75.568
6,2,20,8.10011e-005,92.3437
7,2,20,33.7491,74.5134
7,2,20,44.6771,82.7604
7,2,20,32.3435,91.9643
7,2,20,35.7747,76.4389
7,2,20,36.514,76.0036
7,2,20,28.7944,78.0541
7,2,20,30.7518,79.4342
7,2,20,43.4944,78.3009
7,2,20,20.5108,79.1849
7,2,20,44.7667,76.1389
7,2,20,35.1721,73.9481
7,2,20,29.4374,77.1595
7,2,20,29.6035,74.5904
7,2,20,32.5675,76.4597
7,2,20,29.8496,74.8966
7,2,20,31.2231,75.1663
7,2,20,32.7602,75.0096
7,2,20,35.8299,76.4761
7,2,20,27.9952,74.7131
7,2,20,27.0685,75.6505
7,2,20,36.3322,74.5698
7,2,20,38.2,77.1936
7,2,20,21.8643,74.514
7,2,20,40.2403,77.4961
7,2,20,45.251,74.3306
7,2,20,41.8246,76.7268
7,2,20,22.3504,75.2853
7,2,20,33.4931,75.682
7,2,20,26.5691,74.0589
7,2,20,41.692,80.6167
8,2,20,5.18269e-006,76.1636
8,2,20,4.57517e-006,79.6279
8,2,20,3.74826e-006,77.0669
8,2,20,3.17516e-006,77.4245
8,2,20,3.96201e-006,75.414
8,2,20,5.96765e-006,77.6246
8,2,20,3.98186e-006,77.4221
8,2,20,2.97645e-006,80.1139
8,2,20,6.20434e-006,74.3354
8,2,20,3.70371e-006,77.6462
8,2,20,6.05916e-006,75.7468
8,2,20,6.72048e-006,78.0146
8,2,20,5.2081e-006,77.8502
8,2,20,8.0227e-006,76.7541
8,2,20,1.35762e-006,75.4412
8,2,20,2.62351e-006,74.8197
8,2,20,4.29993e-006,76.5884
8,2,20,3.77731e-006,75.7357
8,2,20,5.59755e-006,76.4184
8,2,20,5.34097e-006,75.9381
8,2,20,3.64265e-006,76.8775
8,2,20,3.48227e-006,77.4226
8,2,20,2.24087e-006,76.6766
8,2,20,2.56593e-006,77.5705
8,2,20,3.84623e-006,76.3991
8,2,20,3.37993e-006,78.4439
8,2,20,3.82646e-006,75.7106
8,2,20,2.72159e-006,77.0628
8,2,20,5.11741e-006,84.7032
8,2,20,2.3687e-006,88.5295
9,2,20,3671.66,112.599
9,2,20,4666.79,80.701
9,2,20,4614.03,82.9879
