best_fitness,runtime_ms,vector
69021.2,0,46.1469 16.327 75.3123 -34.6748 8.197 -67.1681 -25.6875 -20.7069 69.7148 -50.0856 46.5549 -41.7555 -13.0085 71.9844 14.3972 45.5363 -56.6801 -1.6208 26.8339 -46.9929 70.5839 -27.6422 11.5717 31.1355 -85.6889 -78.5557 49.5667 37.8368 -65.4443 -22.224
71690.1,0,35.8712 69.3182 34.0104 7.95987 1.86839 47.4785 55.4126 5.07935 40.7548 63.9008 44.4908 -3.54028 -77.0335 43.3382 4.07654 0.0671387 -33.0557 33.3997 -60.4685 -54.3994 -15.8845 3.78884 49.2021 -75.1239 90.6984 1.47722 -70.5857 -84.6877 9.0488 -76.4156
80432,0,21.8405 35.9446 -83.3318 -85.7089 -20.3771 88.6597 92.3565 -4.13129 -26.5473 16.0249 -28.7321 23.0748 60.5469 -41.3794 -50.8597 33.3588 63.4729 66.8287 55.1772 -4.18787 29.5339 -56.7493 -31.7713 13.5007 -26.159 -56.6638 -38.9744 -88.2313 73.7152 -26.0545
71392.4,0,-8.40187 -94.3369 4.546 55.1514 -87.1675 -0.0324631 27.0292 5.04202 36.9268 26.1793 -10.5917 -82.9228 -76.8122 40.3189 0.625885 15.0517 -0.14756 -96.6363 -25.718 -68.7074 78.6268 14.7125 19.1051 -52.5087 -67.3701 -28.3679 -12.2016 37.7326 -50.3646 22.8393
71717.4,0,20.2676 -88.4338 4.85686 8.91679 54.4973 -82.3018 -40.3494 55.3581 29.4564 -24.8348 77.9061 7.16786 -4.0797 -35.4344 39.2536 36.5026 -63.7728 -30.4897 -53.7929 51.9262 5.72919 14.4945 -80.0172 41.5786 -31.8968 23.4829 64.3266 29.1118 -95.2372 -51.095
63042.1,0,-68.7994 -30.5118 -18.6337 -28.4498 -17.0783 -25.4562 -31.2468 34.8926 35.8954 -49.5518 20.8707 11.5031 -6.99995 3.62365 34.4616 8.86569 -35.6856 -32.8696 81.0365 -10.7948 56.3137 -77.4094 -57.6588 77.0102 69.9229 -19.3801 -2.24014 -97.8381 -69.7772 16.7527
51713.6,0,-76.6381 -39.8402 26.8654 -35.6 33.0253 99.4268 -52.0239 6.54074 -31.7503 67.9465 -36.895 -16.7403 -39.2003 25.9761 45.4452 68.794 29.7375 -12.0805 -47.8988 -25.4466 23.8554 15.3272 -16.4567 52.1582 44.9767 -18.8502 -36.9756 -21.0373 3.81998 17.108
64843.6,0,2.08441 29.6588 3.12602 74.287 -76.6214 19.0654 4.24139 -14.2245 -9.84041 -25.6653 63.2652 -39.1694 53.7003 -54.5605 34.0617 35.1687 32.0837 80.5802 -16.7427 -48.9761 -27.3421 99.7445 26.9828 -6.28589 57.7306 -11.6057 37.6735 29.2073 49.2404 -87.1588
64465.7,0,-91.1697 -8.75324 -7.2337 23.9447 -43.0309 1.07807 -1.29509 77.8273 10.5973 27.8833 -48.8868 65.8306 53.2032 40.4144 -55.1328 -16.9416 -10.8523 -83.2516 -32.9226 4.88836 42.2757 -84.1043 -70.6122 -6.98734 33.696 -13.4873 -48.8646 72.169 -33.6692 6.06942
71071.4,0,-28.947 5.81095 -67.0341 -91.2005 30.4962 -68.7409 -20.1146 23.3143 -6.89157 22.1344 45.7683 62.6462 -44.2615 -26.8629 13.6294 18.9107 -24.1006 -60.9274 -36.5835 -85.2156 88.2683 79.8868 -54.9578 32.3302 6.2485 -14.4701 -44.9043 -62.9618 -45.6095 39.5388
